City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
281,Port Elizabeth,ZA,-33.918,25.5701,56.32,96,75,12.66,moderate rain
282,Kaniama,CD,-7.5667,24.1833,68.04,88,98,2.35,overcast clouds
283,Nabire,ID,-3.3667,135.4833,85.98,65,65,6.11,broken clouds
284,Hualmay,PE,-11.0964,-77.6139,61.0,86,66,9.19,broken clouds
285,Gornopravdinsk,RU,60.05,69.9,54.21,78,99,8.28,overcast clouds
286,Hobyo,SO,5.3505,48.5268,79.66,77,78,21.12,broken clouds
287,Bubaque,GW,11.2833,-15.8333,79.39,81,100,12.82,moderate rain
288,Broken Hill,AU,-31.95,141.4333,67.87,33,2,9.93,clear sky
289,Mastic Beach,US,40.7668,-72.8521,73.38,86,55,13.0,broken clouds
290,Ekhabi,RU,53.5102,142.9671,62.42,59,72,17.25,broken clouds
291,Itacoatiara,BR,-3.1431,-58.4442,76.06,69,67,2.15,broken clouds
292,Kabare,CD,-2.4683,28.8242,62.67,88,100,1.52,overcast clouds
293,Bradford,GB,53.7939,-1.7521,52.63,88,40,2.3,scattered clouds
294,Osakarovka,KZ,50.565,72.5692,60.15,23,0,8.55,clear sky
295,Ekibastuz,KZ,51.6667,75.3667,60.55,28,0,4.09,clear sky
296,Saquarema,BR,-22.92,-42.5103,60.89,83,0,4.09,clear sky
297,Mbandaka,CD,0.0487,18.2603,68.58,98,88,1.63,light rain
298,Mayumba,GA,-3.432,10.6554,74.55,90,99,9.33,light rain
299,Muros,ES,42.7762,-9.0603,68.16,78,75,6.76,broken clouds
300,Cabatuan,PH,10.8794,122.486,86.49,69,100,13.94,overcast clouds
301,Tiksi,RU,71.6872,128.8694,37.47,55,68,4.36,broken clouds
302,Inongo,CD,-1.95,18.2667,66.88,99,99,3.71,overcast clouds
303,Seoul,KR,37.5683,126.9778,81.79,48,78,12.3,broken clouds
304,Mount Isa,AU,-20.7333,139.5,96.57,17,1,11.5,clear sky
305,Stornoway,GB,58.2093,-6.3865,53.56,95,100,1.14,overcast clouds
306,Klaksvik,FO,62.2266,-6.589,45.52,73,34,13.51,scattered clouds
307,Egvekinot,RU,66.3167,-179.1667,35.02,95,100,5.3,overcast clouds
308,Porosozero,RU,62.7191,32.727,44.02,94,97,3.31,overcast clouds
309,Maun,BW,-19.9833,23.4167,67.12,29,3,2.53,clear sky
310,Maningrida,AU,-12.0667,134.2667,88.81,56,100,14.07,overcast clouds
311,Labuhan,ID,-6.8844,112.2051,91.81,46,41,4.81,scattered clouds
312,Khuzdar,PK,27.7384,66.6434,79.41,48,0,4.03,clear sky
313,Angoche,MZ,-16.2325,39.9086,74.89,74,1,9.04,clear sky
314,Ruda Nad Moravou,CZ,49.981,16.8778,44.29,96,100,10.07,overcast clouds
315,Hithadhoo,MV,-0.6,73.0833,82.31,73,99,7.96,overcast clouds
316,Wattegama,LK,6.7989,81.4808,92.57,41,95,7.27,overcast clouds
317,Saveh,IR,35.0213,50.3566,82.83,17,23,3.04,few clouds
318,Srednekolymsk,RU,67.45,153.6833,49.48,39,86,14.47,overcast clouds
319,Henties Bay,NA,-22.116,14.2845,52.27,80,0,15.66,clear sky
320,Kupino,RU,54.3663,77.2981,61.61,32,55,10.87,broken clouds
321,San Juan,AR,-31.5375,-68.5364,48.81,71,83,13.4,broken clouds
322,Clairmont,CA,55.2667,-118.786,46.42,85,84,12.75,broken clouds
323,Mogadishu,SO,2.0371,45.3438,79.05,82,55,13.96,broken clouds
324,Tarauaca,BR,-8.1614,-70.7656,75.83,66,68,2.17,broken clouds
325,Soma,TR,39.1855,27.6094,62.67,66,1,8.43,clear sky
326,Gdov,RU,58.7406,27.8122,50.16,85,100,10.51,overcast clouds
327,Garissa,KE,-0.4536,39.6401,76.14,75,76,16.24,broken clouds
