City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
323,Mogadishu,SO,79.05,broken clouds,2.0371,45.3438,Hotel Juba
324,Tarauaca,BR,75.83,broken clouds,-8.1614,-70.7656,Flat Temporada
327,Garissa,KE,76.14,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
334,Kalaleh,IR,87.64,clear sky,37.3807,55.4916,کلاله
336,Shingu,JP,79.25,light rain,33.7333,135.9833,Shingu UI Hotel
343,Marsa Matruh,EG,76.66,clear sky,31.3525,27.2453,Beau Site
345,Trincomalee,LK,87.55,overcast clouds,8.5711,81.2335,Welcombe Hotel
348,Acapulco,MX,80.42,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
350,Harper,LR,75.79,broken clouds,4.375,-7.7169,Screensaver
351,Lahij,YE,87.55,few clouds,13.1667,44.5833,
354,Adrar,MR,82.36,scattered clouds,20.5022,-10.0711,
355,Hun,LY,78.67,clear sky,29.1268,15.9477,Alrwasi Hotel
356,Puerto Carreno,CO,75.07,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
363,Lucea,JM,79.86,clear sky,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
370,Merritt Island,US,78.04,broken clouds,28.5392,-80.672,
373,Barra Do Garcas,BR,79.77,scattered clouds,-15.89,-52.2567,Pousada Tropical
375,Kimbe,PG,82.67,light rain,-5.5502,150.1429,Kimbe Bay Hotel
379,Mecca,SA,86.54,few clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
381,Nhamunda,BR,78.64,broken clouds,-2.1861,-56.7131,Pousada Da Praia
