City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
284,Zyryanka,RU,2022-09-17 05:23:08,65.75,150.85,45.18,47,75,3.02
285,Aksarka,RU,2022-09-17 05:23:08,66.5606,67.7975,52.32,64,100,10.74
286,Maraba,BR,2022-09-17 05:23:09,-5.3686,-49.1178,77.18,94,0,0.0
287,Hofn,IS,2022-09-17 05:23:10,64.2539,-15.2082,47.62,67,99,5.66
288,Barabinsk,RU,2022-09-17 05:23:10,55.3571,78.357,55.42,53,90,4.16
289,Mukhen,RU,2022-09-17 05:23:10,48.1,136.1,61.23,94,100,2.26
290,Kadiri,IN,2022-09-17 05:23:11,14.1167,78.1667,83.21,57,90,13.96
291,Taltal,CL,2022-09-17 05:23:11,-25.4,-70.4833,53.76,81,23,2.46
292,Sarai Naurang,PK,2022-09-17 05:23:12,32.8259,70.7814,91.45,41,0,8.93
293,Nishihara,JP,2022-09-17 05:23:12,26.1842,127.7558,83.48,84,75,28.77
